SA1_7DIG16,SA1_MAIN16,SA1_pop,SA1_irsdscore
1100701,10102100701,256,991
1100702,10102100702,381,1044
1100703,10102100703,428,980
1100704,10102100704,446,984
1100705,10102100705,402,944
1100706,10102100706,249,972
1100707,10102100707,359,1030
1100708,10102100708,458,1046
1100709,10102100709,380,1058
1100710,10102100710,515,1023
1100801,10102100801,388,1038
1100802,10102100802,557,1053
1100803,10102100803,370,833
1100804,10102100804,406,882
1100805,10102100805,254,652
1100806,10102100806,387,1014
1100807,10102100807,434,974
1100808,10102100808,513,966
1100810,10102100810,271,1086
1100811,10102100811,356,1032
1100812,10102100812,255,1113
1100813,10102100813,444,1083
1100814,10102100814,484,1059
1100815,10102100815,461,977
1100816,10102100816,440,852
1100817,10102100817,284,993
1100818,10102100818,268,968
1100819,10102100819,471,1081
1100820,10102100820,290,1009
1100821,10102100821,467,1074
1100822,10102100822,230,1085
1100823,10102100823,214,1028
1100901,10102100901,234,1056
1100902,10102100902,345,1005
1100904,10102100904,349,1056
1100905,10102100905,415,1002
1100907,10102100907,467,985
1100908,10102100908,522,998
1100909,10102100909,587,958
1100910,10102100910,503,966
1100911,10102100911,396,981
1100912,10102100912,276,982
1100913,10102100913,615,1021
1100914,10102100914,435,1025
1100915,10102100915,734,951
1100916,10102100916,486,1006
1100917,10102100917,226,908
1100918,10102100918,521,1025
1100919,10102100919,513,1033
1100920,10102100920,405,839
1100921,10102100921,431,1037
1100923,10102100923,443,1012
1100925,10102100925,474,1028
1100926,10102100926,260,963
1100927,10102100927,295,1064
1100928,10102100928,351,956
1100929,10102100929,537,926
1101001,10102101001,144,978
1101002,10102101002,365,1142
1101003,10102101003,322,1127
1101004,10102101004,308,1090
1101006,10102101006,483,928
1101007,10102101007,273,984
1101008,10102101008,471,931
1101009,10102101009,372,1021
1101010,10102101010,397,968
1101012,10102101012,91,1049
1101014,10102101014,163,1135
1101015,10102101015,604,965
1101016,10102101016,412,1101
1101017,10102101017,357,1004
1101101,10102101101,621,1099
1101102,10102101102,245,1121
1101103,10102101103,328,1081
1101104,10102101104,534,1028
1101105,10102101105,494,1113
1101106,10102101106,376,1118
1101107,10102101107,346,1077
1101108,10102101108,449,969
1101109,10102101109,341,1115
1101110,10102101110,188,1117
1101111,10102101111,458,1122
1101112,10102101112,205,1066
1101113,10102101113,144,1067
1101115,10102101115,371,1120
1101116,10102101116,333,1057
1101117,10102101117,292,1093
1101118,10102101118,428,1056
1101119,10102101119,302,1110
1101120,10102101120,512,1120
1101122,10102101122,293,1075
